注意（必ずお読みください）
この CSV は Claude が公式サイト等から作成した「下書き（たたき台）」です。確定データではありません。
- jan（JANコード）は信頼できる一覧が公開されておらず、誤りを避けるため原則 空欄にしています。実物のバーコードを読み取って各自で埋めてください。
- color_key（色系統）は色名から Claude が推定した目安です。実際の色味で適宜直してください。
- needs_check 列が yes の行は、特に確認が必要な箇所です。
- ファレホは公式カタログ（Catalogo 2026 R02）から番号・英語名を抽出して収録しました（Model Color / Model Air / Mecha Color / Game Color / Metal Color の単色、計666色）。note にカタログのページ番号を記載しています。
- True Metallic Metal / Game Air / Panzer Aces / Xpress Color / Premium Color / Liquid Gold は今回のカタログから確実に抽出できなかったため、シリーズ枠のみ残しています（name が「（...）」の行は取込時にスキップ。色を足すには行を複製し name と code を実物に書き換え）。
- 日本語名を取り込みたい場合は、ヘッダに name_ja 列を足し、各行に日本語名を書いてください（任意）。空欄や列なしの場合は英語名で表示します。
- name_ja（日本語名）は、英語名をきれいにカタカナ化できた色にだけ自動で入れた「参考の読み」です。公式の日本語名ではありません。固有色名を含むものは空欄（英語名で表示）にしています。公式名が分かるものは上書きしてください。
- Game Air（76.xxx・51色）は CC298 Game Air R02 の対応表から追加しました。
- Gaahleri（84色）は公式サイトの商品ページ（色見本・日本語名つき）から収録しました。hexは色見本からの目安、日本語名は公式表記です。JANは未収録。
- 採番規則：Model Color=70.xxx / Model Air=71.xxx / Mecha Color=69.xxx / Game Color=72.xxx / Game Air=72.7xx中心 / Metal Color=77.7xx / Panzer Aces=70.3xx / True Metallic Metal・Xpress Color・Premium Color・Liquid Gold=手元のボトルで要確認

maker,series,name,name_ja,code,jan,color_key,hex,needs_check,note
Vallejo,Mecha Color,Metallic Blue,,69.067,,metal,#6d788d,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Metallic Green,,69.068,,metal,#7fb799,no,Catalogo 2026 R02 p82
Vallejo,Model Color,Cam. Middle Brown,,70.740,,brown,#513e21,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Cam. Black Green,,70.741,,black,#313028,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Dark Rose,ダークローズ,70.745,,pink,#805251,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Chestnut Brown,チェスナットブラウン,70.746,,brown,#613f39,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Faded Red,フェイデッドレッド,70.747,,red,#ba584f,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Light Pink,ライトピンク,70.748,,pink,#e18da3,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Dark Purple,ダークパープル,70.749,,purple,#452734,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Light Violet,ライトバイオレット,70.750,,purple,#a893bb,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Black Violet,ブラックバイオレット,70.751,,black,#392a31,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Infantry Blue,,70.752,,blue,#25202c,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Light Blue Green,ライトブルーグリーン,70.753,,green,#0097a5,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Continental Blue,,70.754,,blue,#25242b,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Splinter Green,スプリンターグリーン,70.756,,green,#446441,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Pacifi c Green,,70.757,,green,#587064,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Bright Green,ブライトグリーン,70.758,,green,#6f8349,no,Catalogo 2026 R02 p12
Vallejo,Model Color,German Tank Crew,ジャーマンタンククルー,70.759,,brown,#534b3e,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Light Mud,ライトマッド,70.760,,other,#7a765a,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Old Wood,オールドウッド,70.761,,brown,#816d53,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Grey Brown,グレーブラウン,70.762,,gray,#5c4922,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Canvas,キャンバス,70.763,,other,#4b3e1f,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Military Yellow,ミリタリーイエロー,70.764,,yellow,#937726,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Desert Tan,デザートタン,70.765,,brown,#b5a286,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Cream White,クリームホワイト,70.766,,white,#e1d2c3,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Desert Brown,デザートブラウン,70.767,,brown,#ac8455,no,Catalogo 2026 R02 p13
Vallejo,Model Color,BC Dark Brown,,70.768,,brown,#76573d,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Mustard Brown,,70.769,,brown,#9e7249,no,Catalogo 2026 R02 p13
Vallejo,Model Color,New Wood,,70.770,,brown,#89613b,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Dark Rust,ダークラスト,70.771,,other,#3c2525,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Violet Grey,バイオレットグレー,70.773,,gray,#5a5a58,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Lavender Grey,,70.774,,gray,#7f6f6e,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Silver,シルバー,70.790,,metal,,no,Catalogo 2026 R02 p25
Vallejo,Model Color,Gold,ゴールド,70.791,,metal,,no,Catalogo 2026 R02 p25
Vallejo,Model Color,Old Gold,オールドゴールド,70.792,,metal,,no,Catalogo 2026 R02 p25
Vallejo,Model Color,Rich Gold,,70.793,,metal,,no,Catalogo 2026 R02 p25
Vallejo,Model Color,Red Gold,レッドゴールド,70.794,,metal,,no,Catalogo 2026 R02 p25
Vallejo,Model Color,Green Gold,グリーンゴールド,70.795,,metal,,no,Catalogo 2026 R02 p25
Vallejo,Model Color,White Gold,ホワイトゴールド,70.796,,white,,no,Catalogo 2026 R02 p25
Vallejo,Model Color,Copper,カッパー,70.797,,metal,,no,Catalogo 2026 R02 p25
Vallejo,Model Color,Gunmetal Blue,ガンメタルブルー,70.800,,metal,#67606a,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Brass,ブラス,70.801,,metal,#967456,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Brown Rose,ブラウンローズ,70.803,,pink,#9c6660,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Beige Red,ベージュレッド,70.804,,red,#b16e4a,no,Catalogo 2026 R02 p12
Vallejo,Model Color,German Orange,ジャーマンオレンジ,70.805,,orange,#bc6255,no,Catalogo 2026 R02 p12
Vallejo,Model Color,German Yellow,ジャーマンイエロー,70.806,,yellow,#cdb65e,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Oxford Blue,,70.807,,blue,#3e3954,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Blue Green,ブルーグリーン,70.808,,green,#007987,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Royal Blue,ロイヤルブルー,70.809,,blue,#1a437e,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Royal Purple,ロイヤルパープル,70.810,,purple,#4b2740,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Blue Violet,ブルーバイオレット,70.811,,blue,#5e3876,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Violet Red,バイオレットレッド,70.812,,red,#63353e,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Burnt Red,バーントレッド,70.814,,red,#753c3a,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Basic Skin Tone,ベーシックスキントーン,70.815,,other,#e9ac8d,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Luftwaffe Uniform,,70.816,,other,#45414c,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Scarlet,スカーレット,70.817,,red,#c13d2e,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Red Leather,レッドレザー,70.818,,red,#955439,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Iraqi Sand,,70.819,,brown,#b5925e,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Off-White,オフホワイト,70.820,,white,#f4ede7,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Cam. Black Brown,,70.822,,black,#413435,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Luftwaffe Green,,70.823,,green,#373f25,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Orange Ochre,オレンジオーカー,70.824,,orange,#ab8136,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Pale Brown,ペールブラウン,70.825,,brown,#9f8374,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Lime Green,ライムグリーン,70.827,,green,#7d9334,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Mahogany Ink,マホガニーインク,70.828,,other,#674540,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Amaranth Red,,70.829,,red,#d24e31,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Fern Green,ファーングリーン,70.833,,green,#445634,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Salmon Rose,サーモンローズ,70.835,,pink,#e18e7c,no,Catalogo 2026 R02 p12
Vallejo,Model Color,London Grey,,70.836,,gray,#696362,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Pale Sand,ペールサンド,70.837,,brown,#e3c28d,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Light Turquoise,ライトターコイズ,70.840,,blue,#00688b,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Andrea Blue,,70.841,,blue,#0071ad,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Cork Brown,コルクブラウン,70.843,,brown,#a0704e,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Deep Sky Blue,ディープスカイブルー,70.844,,blue,#4d95c4,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Sunny Skin Tone,,70.845,,other,#ec9745,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Mahogany Brown,マホガニーブラウン,70.846,,brown,#784d47,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Dark Sand,ダークサンド,70.847,,brown,#cba665,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Bright Orange,ブライトオレンジ,70.851,,orange,#de5a21,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Ochre Brown,オーカーブラウン,70.856,,brown,#aa793e,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Ice Yellow,アイスイエロー,70.858,,yellow,#eccf70,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Black Red,ブラックレッド,70.859,,black,#552f2b,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Med. Flesh Tone,,70.860,,brown,#b0793f,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Gloss Black,グロスブラック,70.861,,black,#241e1f,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Black Grey,ブラックグレー,70.862,,black,#2f2722,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Gunmetal,ガンメタル,70.863,,metal,#6e6163,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Natural Steel,,70.864,,metal,#91898d,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Oily Steel,,70.865,,metal,#837778,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Grey Green,グレーグリーン,70.866,,gray,#423f3d,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Dark Blue Grey,ダークブルーグレー,70.867,,gray,#424346,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Dark Sea Green,ダークシーグリーン,70.868,,green,#4b4546,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Basalt Grey,,70.869,,gray,#5c595d,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Leather Brown,レザーブラウン,70.871,,brown,#594435,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Chocolate Brown,,70.872,,brown,#604e45,no,Catalogo 2026 R02 p13
Vallejo,Model Color,US Field Drab,,70.873,,other,#816645,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Tan Earth,タンアース,70.874,,brown,#987558,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Beige Brown,ベージュブラウン,70.875,,brown,#815f43,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Brown Sand,ブラウンサンド,70.876,,brown,#916144,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Gold Brown,ゴールドブラウン,70.877,,metal,#bf873c,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Old Gold,オールドゴールド,70.878,,metal,#876c51,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Green Brown,グリーンブラウン,70.879,,green,#816c31,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Khaki Grey,カーキグレー,70.880,,gray,#7c6338,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Green Yellow,グリーンイエロー,70.881,,yellow,#6f653c,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Middle Stone,ミドルストーン,70.882,,other,#937f40,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Silver Grey,シルバーグレー,70.883,,gray,#d7cfc6,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Stone Grey,ストーングレー,70.884,,gray,#8a7d64,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Pastel Green,パステルグリーン,70.885,,green,#94976f,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Green Grey,グリーングレー,70.886,,gray,#65634f,no,Catalogo 2026 R02 p12
Vallejo,Model Color,US Olive Drab,,70.887,,green,#58523c,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Olive Grey,オリーブグレー,70.888,,gray,#42412d,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Olive Brown,オリーブブラウン,70.889,,green,#3f3127,no,Catalogo 2026 R02 p13
Vallejo,Model Color,Refractive Green,,70.890,,green,#464834,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Intermediate Green,インターミディエイトグリーン,70.891,,green,#506642,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Yellow Olive,イエローオリーブ,70.892,,yellow,#383b30,no,Catalogo 2026 R02 p12
Vallejo,Model Color,US Dark Green,,70.893,,green,#4a4938,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Cam. Olive Green,,70.894,,green,#3d3b2e,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Gunship Green,,70.895,,green,#4c5841,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Extra Dark Green,,70.896,,green,#2a2a14,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Bronze Green,ブロンズグリーン,70.897,,metal,#313a28,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Dark Sea Blue,ダークシーブルー,70.898,,blue,#272d38,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Dark Prussian Blue,ダークプルシアンブルー,70.899,,blue,#262539,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Pastel Blue,パステルブルー,70.901,,blue,#607a91,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Azure,アジュール,70.902,,blue,#5b6b9e,no,Catalogo 2026 R02 p12
Vallejo,Model Color,Blue Grey Pale,ブルーグレーペール,70.905,,gray,#818586,no,Catalogo 2026 R02 p13
